Date, Close/Last, Volume, Open, High, Low
7/11/17,$145.53 ,18647220,$144.73 ,$145.85 ,$144.38 
7/10/17,$145.06 ,21080580,$144.11 ,$145.95 ,$143.37 
7/7/17,$144.18 ,18527000,$142.90 ,$144.75 ,$142.90 
7/6/17,$142.73 ,24110330,$143.02 ,$143.50 ,$142.41 
7/5/17,$144.09 ,21550270,$143.69 ,$144.79 ,$142.72 
7/3/17,$143.50 ,14277850,$144.88 ,$145.30 ,$143.10 
6/30/17,$144.02 ,22986960,$144.45 ,$144.96 ,$143.78 
6/29/17,$143.68 ,31450520,$144.71 ,$145.13 ,$142.28 
6/28/17,$145.83 ,22052920,$144.49 ,$146.11 ,$143.16 
6/27/17,$143.73 ,24725210,$145.01 ,$146.16 ,$143.62 
6/26/17,$145.82 ,25674500,$147.17 ,$148.28 ,$145.38 
6/23/17,$146.28 ,35421310,$145.13 ,$147.16 ,$145.11 
6/22/17,$145.63 ,19082170,$145.77 ,$146.70 ,$145.12 
6/21/17,$145.87 ,21247590,$145.52 ,$146.07 ,$144.61 
6/20/17,$145.01 ,24877950,$146.87 ,$146.87 ,$144.94 
6/19/17,$146.34 ,32203640,$143.66 ,$146.74 ,$143.66 
6/16/17,$142.27 ,50264540,$143.78 ,$144.50 ,$142.20 
6/15/17,$144.29 ,31642900,$143.32 ,$144.48 ,$142.21 
6/14/17,$145.16 ,31454590,$147.50 ,$147.50 ,$143.84 
6/13/17,$146.59 ,34089190,$147.16 ,$147.45 ,$145.15 
6/12/17,$145.42 ,72187710,$145.74 ,$146.09 ,$142.51 
6/9/17,$148.98 ,64782910,$155.19 ,$155.19 ,$146.02 
6/8/17,$154.99 ,21144040,$155.25 ,$155.54 ,$154.40 
6/7/17,$155.37 ,21017560,$155.02 ,$155.98 ,$154.48 
6/6/17,$154.45 ,26591850,$153.90 ,$155.81 ,$153.78 
6/5/17,$153.93 ,25277680,$154.34 ,$154.45 ,$153.46 
6/2/17,$155.45 ,27715140,$153.58 ,$155.45 ,$152.89 
6/1/17,$153.18 ,16383610,$153.17 ,$153.33 ,$152.22 
5/31/17,$152.76 ,24452750,$153.97 ,$154.17 ,$152.38 
5/30/17,$153.67 ,20118620,$153.42 ,$154.43 ,$153.33 
5/26/17,$153.61 ,21895020,$154 ,$154.24 ,$153.31 
5/25/17,$153.87 ,19217810,$153.73 ,$154.35 ,$153.03 
5/24/17,$153.34 ,19201820,$153.84 ,$154.17 ,$152.67 
5/23/17,$153.80 ,19906170,$154.90 ,$154.90 ,$153.31 
5/22/17,$153.99 ,22930630,$154 ,$154.58 ,$152.91 
5/19/17,$153.06 ,26892850,$153.38 ,$153.98 ,$152.63 
5/18/17,$152.54 ,33520150,$151.27 ,$153.34 ,$151.13 
5/17/17,$150.25 ,50674280,$153.60 ,$154.57 ,$149.71 
5/16/17,$155.47 ,19994270,$155.94 ,$156.06 ,$154.72 
5/15/17,$155.70 ,25912270,$156.01 ,$156.65 ,$155.05 
5/12/17,$156.10 ,32493770,$154.70 ,$156.42 ,$154.67 
5/11/17,$153.95 ,27236290,$152.45 ,$154.07 ,$152.31 
5/10/17,$153.26 ,25779060,$153.63 ,$153.94 ,$152.11 
5/9/17,$153.99 ,38907940,$153.87 ,$154.88 ,$153.45 
5/8/17,$153.01 ,48670440,$149.03 ,$153.70 ,$149.03 
5/5/17,$148.96 ,27254850,$146.76 ,$148.98 ,$146.76 
5/4/17,$146.53 ,23345970,$146.52 ,$147.14 ,$145.81 
5/3/17,$147.06 ,45579740,$145.59 ,$147.49 ,$144.27 
5/2/17,$147.51 ,44182930,$147.54 ,$148.09 ,$146.84 
5/1/17,$146.58 ,33498270,$145.10 ,$147.20 ,$144.96 
4/28/17,$143.65 ,20783460,$144.09 ,$144.30 ,$143.27 
4/27/17,$143.79 ,14198660,$143.92 ,$144.16 ,$143.31 
4/26/17,$143.68 ,19998050,$144.47 ,$144.60 ,$143.38 
4/25/17,$144.53 ,18325720,$143.91 ,$144.90 ,$143.87 
4/24/17,$143.64 ,17117710,$143.50 ,$143.95 ,$143.18 
4/21/17,$142.27 ,17290900,$142.44 ,$142.68 ,$141.85 
4/20/17,$142.44 ,23294040,$141.22 ,$142.92 ,$141.16 
4/19/17,$140.68 ,17302160,$141.88 ,$142 ,$140.45 
4/18/17,$141.20 ,14676420,$141.41 ,$142.04 ,$141.11 
4/17/17,$141.83 ,16529130,$141.48 ,$141.88 ,$140.87 
4/13/17,$141.05 ,17775510,$141.91 ,$142.38 ,$141.05 
4/12/17,$141.80 ,20320420,$141.60 ,$142.15 ,$141.01 
4/11/17,$141.63 ,30341520,$142.94 ,$143.35 ,$140.06 
4/10/17,$143.17 ,18904680,$143.60 ,$143.88 ,$142.90 
4/7/17,$143.34 ,16658660,$143.73 ,$144.18 ,$143.27 
4/6/17,$143.66 ,21131040,$144.29 ,$144.52 ,$143.45 
4/5/17,$144.02 ,27649500,$144.22 ,$145.46 ,$143.81 
4/4/17,$144.77 ,19865300,$143.25 ,$144.89 ,$143.17 
4/3/17,$143.70 ,19970040,$143.71 ,$144.12 ,$143.05 
3/31/17,$143.66 ,19576480,$143.72 ,$144.27 ,$143.01 
3/30/17,$143.93 ,21189000,$144.19 ,$144.50 ,$143.50 
3/29/17,$144.12 ,29174040,$143.68 ,$144.49 ,$143.19 
3/28/17,$143.80 ,33348400,$140.91 ,$144.04 ,$140.62 
3/27/17,$140.88 ,23531670,$139.39 ,$141.22 ,$138.62 
3/24/17,$140.64 ,22355140,$141.50 ,$141.74 ,$140.35 
3/23/17,$140.92 ,20299310,$141.26 ,$141.58 ,$140.61 
3/22/17,$141.42 ,25804820,$139.85 ,$141.60 ,$139.76 
3/21/17,$139.84 ,39461130,$142.11 ,$142.80 ,$139.73 
3/20/17,$141.46 ,21258100,$140.40 ,$141.50 ,$140.23 
3/17/17,$139.99 ,43700570,$141 ,$141 ,$139.89 
3/16/17,$140.69 ,19173780,$140.72 ,$141.02 ,$140.26 
3/15/17,$140.46 ,25676720,$139.41 ,$140.75 ,$139.03 
3/14/17,$138.99 ,15281850,$139.30 ,$139.65 ,$138.84 
3/13/17,$139.20 ,17048800,$138.85 ,$139.43 ,$138.82 
3/10/17,$139.14 ,19578920,$139.25 ,$139.36 ,$138.64 
3/9/17,$138.68 ,22117750,$138.74 ,$138.79 ,$137.05 
3/8/17,$139 ,18695500,$138.95 ,$139.80 ,$138.82 
3/7/17,$139.52 ,17439210,$139.06 ,$139.98 ,$138.79 
3/6/17,$139.34 ,21229890,$139.37 ,$139.77 ,$138.60 
3/3/17,$139.78 ,21555370,$138.78 ,$139.83 ,$138.59 
3/2/17,$138.96 ,26170690,$140 ,$140.28 ,$138.76 
3/1/17,$139.79 ,36362440,$137.89 ,$140.15 ,$137.60 
2/28/17,$136.99 ,23446340,$137.08 ,$137.44 ,$136.70 
2/27/17,$136.93 ,20222210,$137.14 ,$137.44 ,$136.28 
2/24/17,$136.66 ,21754600,$135.91 ,$136.66 ,$135.28 
2/23/17,$136.53 ,20762360,$137.38 ,$137.48 ,$136.30 
2/22/17,$137.11 ,20769030,$136.43 ,$137.12 ,$136.11 
2/21/17,$136.70 ,24487200,$136.23 ,$136.75 ,$135.98 
2/17/17,$135.72 ,22163280,$135.10 ,$135.83 ,$135.10 
2/16/17,$135.35 ,22539860,$135.67 ,$135.90 ,$134.84 
2/15/17,$135.51 ,35578640,$135.52 ,$136.27 ,$134.62 
2/14/17,$135.02 ,33054500,$133.47 ,$135.09 ,$133.25 
2/13/17,$133.29 ,22989980,$133.08 ,$133.82 ,$132.75 
2/10/17,$132.12 ,20046250,$132.46 ,$132.94 ,$132.05 
2/9/17,$132.42 ,28321440,$131.65 ,$132.45 ,$131.12 
2/8/17,$132.04 ,22941650,$131.35 ,$132.22 ,$131.22 
2/7/17,$131.53 ,38158410,$130.54 ,$132.09 ,$130.45 
2/6/17,$130.29 ,26784530,$129.13 ,$130.50 ,$128.90 
